out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.0000,1000.0000,-55.0548,-53.4284,-53.1272,-53.7296,-53.9705,-55.0548,-54.1512,-55.7777,-55.1151,-54.9946
1.0000,1200.0000,-49.0644,-44.6537,-44.2912,-50.5749,-47.2518,-46.6476,-49.1248,-48.0977,-46.7080,-48.2185
1.0000,1400.0000,-45.4275,-44.5179,-48.0350,-48.2169,-47.1254,-48.1563,-48.2776,-46.3977,-47.0041,-49.9755
1.0000,1600.0000,-45.3392,-46.7399,-47.3489,-46.4963,-47.5316,-49.7849,-45.5219,-46.4354,-49.2368,-48.0797
1.0000,1800.0000,-45.3722,-48.4932,-43.9647,-46.5349,-50.6962,-48.1872,-45.0662,-48.0036,-48.6768,-45.8618
1.0000,2000.0000,-44.8013,-44.6782,-47.5086,-46.0934,-47.0164,-49.5391,-46.5857,-46.1550,-48.3701,-48.1855
1.0000,2200.0000,-45.0471,-48.2041,-45.7280,-46.2232,-49.6898,-48.4517,-44.8614,-46.5328,-48.9470,-45.7899
1.0000,2400.0000,-47.2504,-47.0011,-43.2623,-46.6273,-50.3037,-46.4403,-44.7579,-48.9329,-47.6866,-45.2564
1.0000,2600.0000,-49.0691,-44.1736,-43.2322,-50.0732,-48.1276,-45.7427,-46.9979,-47.8766,-45.8682,-45.5544
1.0000,2800.0000,-46.7622,-43.6630,-45.5605,-48.3434,-46.1297,-45.8767,-48.3434,-45.6870,-45.8134,-48.9759
1.0000,3000.0000,-44.5590,-43.7937,-47.4927,-45.8983,-46.5361,-48.8320,-46.8549,-45.6432,-47.4289,-48.3218
1.0000,3200.0000,-44.6360,-47.7243,-45.7941,-45.8584,-48.3033,-48.3677,-44.5073,-45.9228,-48.8824,-45.6011
1.0000,3400.0000,-46.3258,-47.2350,-42.9487,-46.1309,-50.4172,-46.4557,-44.3774,-48.6637,-47.6896,-45.1568
1.0000,3600.0000,-49.0691,-44.3467,-42.8382,-49.8562,-48.0197,-45.3962,-46.1176,-48.0197,-45.9865,-45.1338
1.0000,3800.0000,-46.5187,-43.0725,-44.1329,-48.9708,-45.9222,-45.5246,-48.4406,-45.6571,-45.5246,-48.5069
1.0000,4000.0000,-43.9077,-43.1707,-47.0567,-45.7167,-45.9177,-48.2627,-46.5207,-45.0467,-46.5877,-48.1287
1.0000,4200.0000,-43.6450,-46.6946,-45.1359,-45.0682,-47.3045,-47.9822,-43.6450,-45.0682,-48.2533,-45.5425
1.0000,4400.0000,-44.6869,-46.4014,-41.6008,-45.0984,-49.4874,-45.6470,-43.1095,-47.4300,-46.6757,-43.6582
1.0000,4600.0000,-47.4682,-43.5104,-40.9414,-48.0931,-46.5656,-43.6493,-44.0659,-46.6350,-44.2742,-43.3716
1.0000,4800.0000,-44.2889,-40.5611,-41.0535,-46.8912,-43.5152,-43.0228,-46.0472,-43.5152,-43.0228,-45.9065
1.0000,5000.0000,-40.5085,-39.7244,-43.8586,-43.0745,-42.7894,-44.9278,-43.4309,-41.7915,-43.0745,-45.0704
1.0000,5200.0000,-39.2440,-42.1348,-40.7617,-40.6171,-42.7130,-43.9417,-39.2440,-40.6894,-44.0862,-41.4121
1.0000,5400.0000,-38.8786,-40.9313,-35.7262,-39.3185,-44.3037,-40.2715,-37.3390,-41.9577,-41.3712,-37.9255
1.0000,5600.0000,-40.5306,-36.5130,-33.5369,-41.0515,-39.6378,-36.4386,-36.7362,-39.7122,-37.2570,-36.1410
1.0000,5800.0000,-35.5680,-31.4132,-31.7154,-38.2874,-34.6615,-33.9816,-37.3054,-35.1147,-34.0572,-36.9277
1.0000,6000.0000,-29.3961,-28.4753,-32.9257,-32.3119,-31.6980,-34.0000,-32.6955,-30.7773,-32.0050,-34.5371
2.0000,1000.0000,-45.7177,-47.8261,-47.2237,-46.8623,-48.3080,-49.7538,-45.7177,-46.9225,-49.7538,-47.7056
2.0000,1200.0000,-46.4059,-48.7019,-44.2912,-47.1309,-51.1791,-48.2185,-45.4996,-49.0644,-48.8831,-46.0434
2.0000,1400.0000,-49.7936,-46.8828,-43.9721,-49.7936,-49.0659,-46.4584,-45.9732,-49.1872,-47.0041,-46.0945
2.0000,1600.0000,-47.8361,-44.3649,-44.1213,-50.0894,-46.9835,-46.3745,-48.9323,-47.5316,-46.4963,-48.4451
2.0000,1800.0000,-45.1274,-44.2707,-47.8200,-47.8200,-46.8409,-48.3096,-47.6976,-46.1065,-46.8409,-49.5947
2.0000,2000.0000,-44.9859,-46.8933,-46.7087,-46.2165,-47.3240,-49.2315,-45.1090,-46.2165,-49.1084,-47.6317
2.0000,2200.0000,-45.1090,-48.1422,-43.6233,-46.3470,-50.6183,-47.8327,-44.7995,-48.0803,-48.2660,-45.5423
2.0000,2400.0000,-48.5590,-46.3780,-43.2000,-48.2474,-48.6213,-45.8172,-44.8825,-48.8082,-46.5026,-45.4433
2.0000,2600.0000,-47.6255,-43.7343,-43.3577,-49.8222,-46.5586,-45.8054,-48.3787,-47.3117,-45.8682,-47.3117
2.0000,2800.0000,-44.9280,-43.6630,-47.1417,-47.5212,-46.3194,-47.2682,-47.6477,-45.6237,-46.3194,-49.3554
2.0000,3000.0000,-44.5590,-45.7070,-46.9187,-45.8345,-46.7274,-49.2784,-45.1330,-45.7708,-48.6406,-47.5565
2.0000,3200.0000,-44.7003,-48.0460,-43.7352,-45.9228,-50.2979,-47.8529,-44.3786,-47.1452,-48.4963,-45.2794
2.0000,3400.0000,-47.6246,-46.5206,-42.8188,-47.1051,-49.7029,-45.7413,-44.5073,-48.7287,-46.8453,-44.8970
2.0000,3600.0000,-48.2820,-43.5597,-42.7070,-49.9873,-47.6262,-45.3962,-46.9703,-47.4950,-45.6585,-45.3306
2.0000,3800.0000,-46.4524,-43.1388,-44.4642,-48.1092,-45.8560,-45.4583,-48.2418,-45.3920,-45.5246,-48.6394
2.0000,4000.0000,-43.9747,-43.1037,-46.9897,-46.0517,-45.9847,-48.0617,-46.5207,-45.0467,-46.4537,-48.2627
2.0000,4200.0000,-43.7128,-45.9492,-45.3392,-45.0004,-46.4913,-48.2533,-43.7128,-45.0682,-48.2533,-46.2202
2.0000,4400.0000,-43.4524,-46.9500,-41.8751,-44.7555,-49.4874,-46.6071,-43.1095,-46.4699,-46.9500,-43.9325
2.0000,4600.0000,-46.4267,-44.5520,-40.8025,-45.7323,-47.9542,-43.9270,-42.6772,-47.0516,-44.7603,-43.0938
2.0000,4800.0000,-45.6252,-40.7721,-40.0688,-47.7352,-44.5702,-42.9525,-45.1329,-44.9219,-43.0228,-43.6558
2.0000,5000.0000,-42.8607,-39.5818,-42.2192,-44.4288,-42.3617,-42.5043,-44.7140,-41.7202,-42.0053,-45.7832
2.0000,5200.0000,-39.1717,-38.3767,-42.4239,-40.6894,-41.4121,-44.3753,-41.6289,-40.4003,-42.4962,-43.1467
2.0000,5400.0000,-37.4857,-40.8580,-38.8053,-38.8053,-41.4445,-42.1043,-37.4124,-39.0252,-42.3976,-38.8786
2.0000,5600.0000,-36.7362,-38.8938,-33.6857,-37.1082,-42.2419,-38.2986,-35.2482,-39.7866,-39.2658,-35.7690
2.0000,5800.0000,-37.9853,-34.6615,-30.8845,-38.1364,-37.2299,-33.8305,-33.0751,-37.3054,-34.5859,-33.4528
2.0000,6000.0000,-32.8490,-28.2451,-27.9382,-35.7648,-31.6980,-30.8540,-34.0767,-32.5421,-31.0075,-33.0025
