out_port,frequency,LA0,LA1,LA2,LA3,LA4,LA5,LA6,LA7,LA8,LA9
1.000000,800.000000,800.416138,0.503226,0.493548,0.490323,0.474194,2.761290,0.667742,0.400000,0.412903,0.419355
1.000000,1000.000000,1000.774170,0.825806,0.841935,0.751613,0.725806,0.809677,0.796774,0.770968,0.745161,0.725806
1.000000,1200.000000,1200.787109,0.806452,0.858065,0.758065,0.687097,0.741935,0.806452,0.754839,0.741935,0.748387
1.000000,1400.000000,1400.780640,0.812903,0.864516,0.741935,0.680645,0.758065,0.800000,0.748387,0.754839,0.754839
1.000000,1600.000000,1600.774170,0.832258,0.861290,0.732258,0.725806,0.767742,0.783871,0.758065,0.767742,0.741935
1.000000,1800.000000,1800.780640,0.838710,0.848387,0.738710,0.738710,0.758065,0.774194,0.764516,0.767742,0.725806
1.000000,2000.000000,2000.796753,0.832258,0.835484,0.748387,0.738710,0.741935,0.787097,0.774194,0.748387,0.725806
1.000000,2200.000000,2200.796875,0.812903,0.848387,0.761290,0.709677,0.741935,0.809677,0.764516,0.741935,0.748387
1.000000,2400.000000,2400.780762,0.806452,0.864516,0.751613,0.683871,0.754839,0.809677,0.748387,0.748387,0.758065
1.000000,2600.000000,2600.767822,0.829032,0.870968,0.732258,0.719355,0.767742,0.790323,0.748387,0.764516,0.748387
1.000000,2800.000000,2800.780762,0.838710,0.848387,0.732258,0.738710,0.764516,0.774194,0.764516,0.770968,0.725806
1.000000,3000.000000,3000.790283,0.832258,0.835484,0.745161,0.732258,0.745161,0.783871,0.774194,0.754839,0.725806
1.000000,3200.000000,3200.793457,0.812903,0.848387,0.761290,0.722581,0.745161,0.806452,0.764516,0.745161,0.741935
1.000000,3400.000000,3400.787109,0.806452,0.861290,0.751613,0.677419,0.748387,0.809677,0.745161,0.745161,0.758065
1.000000,3600.000000,3600.770996,0.825806,0.870968,0.732258,0.716129,0.770968,0.793548,0.748387,0.761290,0.754839
1.000000,3800.000000,3800.770996,0.838710,0.854839,0.732258,0.732258,0.764516,0.777419,0.761290,0.770968,0.732258
